Output directory is /home/users/aspector/mosaic/mosaic_factor_paper/sim_data/robustness_sims/2025-09-01/21-46-11/
At seed=376, n=100, industry=EGY, sampling_method=ar1. at 0.02.
At seed=377, n=100, industry=EGY, sampling_method=ar1. at 0.5.
At seed=378, n=100, industry=EGY, sampling_method=ar1. at 0.93.
At seed=379, n=100, industry=EGY, sampling_method=ar1. at 1.59.
At seed=380, n=100, industry=EGY, sampling_method=ar1. at 2.03.
At seed=376, n=100, industry=EGY, sampling_method=garch. at 2.68.
At seed=377, n=100, industry=EGY, sampling_method=garch. at 3.25.
At seed=378, n=100, industry=EGY, sampling_method=garch. at 3.78.
At seed=379, n=100, industry=EGY, sampling_method=garch. at 4.34.
At seed=380, n=100, industry=EGY, sampling_method=garch. at 5.03.
At seed=376, n=100, industry=EGY, sampling_method=garch_ar1. at 5.79.
At seed=377, n=100, industry=EGY, sampling_method=garch_ar1. at 6.46.
At seed=378, n=100, industry=EGY, sampling_method=garch_ar1. at 7.07.
At seed=379, n=100, industry=EGY, sampling_method=garch_ar1. at 7.65.
At seed=380, n=100, industry=EGY, sampling_method=garch_ar1. at 8.15.
At seed=376, n=100, industry=EGY, sampling_method=mvn_arch. at 8.77.
At seed=377, n=100, industry=EGY, sampling_method=mvn_arch. at 9.45.
At seed=378, n=100, industry=EGY, sampling_method=mvn_arch. at 10.29.
At seed=379, n=100, industry=EGY, sampling_method=mvn_arch. at 10.96.
At seed=380, n=100, industry=EGY, sampling_method=mvn_arch. at 11.57.
At seed=376, n=200, industry=EGY, sampling_method=ar1. at 12.22.
At seed=377, n=200, industry=EGY, sampling_method=ar1. at 13.07.
At seed=378, n=200, industry=EGY, sampling_method=ar1. at 13.96.
At seed=379, n=200, industry=EGY, sampling_method=ar1. at 14.96.
At seed=380, n=200, industry=EGY, sampling_method=ar1. at 15.84.
At seed=376, n=200, industry=EGY, sampling_method=garch. at 16.95.
At seed=377, n=200, industry=EGY, sampling_method=garch. at 18.04.
At seed=378, n=200, industry=EGY, sampling_method=garch. at 19.05.
